Network;admissibility_2;avg_degree;degen_lower;degen_upper;max_degree;memory;memoryLoad;min_degree;num_edges;num_vertices
AS-oregon-1;=28;=4.189905166625977;=17;=17;=2389;=5343.715;=1560.8916;=1;=23409;=11174
AS-oregon-2;=52;=5.711543560028076;=31;=31;=2432;=5593.117;=1642.1826;=1;=32730;=11461
BioGrid-Affinity-Capture-Luminescence;=8;=2.5130434036254883;=6;=6;=376;=1252.8027;=445.20215;=1;=2312;=1840
BioGrid-Affinity-Capture-Ms;=183;=15.89761734008789;=58;=58;=2217;=33281.047;=9174.069;=1;=321887;=40495
BioGrid-Affinity-Capture-Rna;=75;=6.220849990844727;=54;=54;=3572;=6239.509;=1837.8008;=1;=42815;=13765
BioGrid-Affinity-Capture-Western;=64;=6.09149694442749;=17;=17;=535;=11368.61;=3158.8193;=1;=64046;=21028
BioGrid-All;=476;=34.860172271728516;=131;=134;=3620;=103501.16;=28946.621;=1;=1316843;=75550
BioGrid-Arabidopsis-Thaliana-Columbia;=53;=9.199577331542969;=26;=26;=1341;=6512.8926;=1845.7822;=1;=47916;=10417
BioGrid-Biochemical-Activity;=29;=4.117401599884033;=11;=11;=427;=5211.8135;=1572.6816;=1;=17746;=8620
BioGrid-Bos-Taurus;=4;=1.867841362953186;=3;=3;=27;=308.44824;=170.69727;=1;=424;=454
BioGrid-Caenorhabditis-Elegans;=70;=7.396308898925781;=64;=64;=522;=3335.7568;=978.66016;=1;=23646;=6394
BioGrid-Candida-Albicans-Sc5314;=9;=2.8706512451171875;=9;=9;=427;=637.8164;=265.64355;=1;=1609;=1121
BioGrid-Canis-Familiaris;=2;=1.7482517957687378;=2;=2;=90;=105.33203;=105.33203;=1;=125;=143
BioGrid-Chemicals;=1;=1.6889917850494385;=1;=1;=413;=19875.67;=5449.2266;=1;=28093;=33266
BioGrid-Co-Crystal-Structure;=5;=1.7642951011657715;=5;=5;=92;=1246.2861;=432.7207;=1;=2021;=2291
BioGrid-Co-Fractionation;=83;=10.230371475219727;=83;=83;=187;=6922.4697;=1978.8633;=1;=56354;=11017
BioGrid-Co-Localization;=9;=2.513124465942383;=6;=6;=63;=1316.8008;=443.30176;=1;=4452;=3543
BioGrid-Co-Purification;=12;=2.7600555419921875;=12;=12;=1972;=2552.5234;=808.0674;=1;=5970;=4326
BioGrid-Cricetulus-Griseus;=1;=1.6521738767623901;=1;=1;=30;=93.68164;=93.68164;=1;=57;=69
BioGrid-Danio-Rerio;=3;=2.0383141040802;=3;=3;=61;=157.4414;=127.06543;=1;=266;=261
BioGrid-Dictyostelium-Discoideum-Ax4;=1;=1.4814814329147339;=1;=1;=4;=85.72656;=85.72656;=1;=20;=27
BioGrid-Dosage-Growth-Defect;=9;=3.0310988426208496;=5;=5;=213;=652.36035;=261.89844;=1;=2193;=1447
BioGrid-Dosage-Lethality;=8;=2.577702760696411;=4;=4;=392;=663.8447;=261.91602;=1;=2289;=1776
BioGrid-Dosage-Rescue;=11;=3.8130178451538086;=7;=7;=75;=1385.2051;=453.51465;=1;=6444;=3380
BioGrid-Drosophila-Melanogaster;=83;=12.980921745300293;=83;=83;=303;=7080.3555;=2003.6963;=1;=60556;=9330
BioGrid-Emericella-Nidulans-Fgsc-A4;=2;=1.9375;=2;=2;=44;=94.28027;=94.28027;=1;=62;=64
BioGrid-Escherichia-Coli-K12-Mg1655;=10;=2.967792510986328;=5;=5;=58;=644.16016;=262.50293;=1;=1889;=1273
BioGrid-Escherichia-Coli-K12-W3110;=290;=89.40191650390625;=131;=133;=1187;=12557.593;=3859.8945;=1;=181620;=4063
BioGrid-Far-Western;=3;=1.8165137767791748;=3;=3;=60;=626.9922;=258.45215;=1;=1089;=1199
BioGrid-Fret;=24;=2.8176469802856445;=19;=19;=51;=662.1572;=259.5879;=1;=2395;=1700
BioGrid-Gallus-Gallus;=4;=2.111380100250244;=4;=4;=110;=162.86523;=126.98926;=1;=436;=413
BioGrid-Glycine-Max;=2;=1.7727272510528564;=2;=2;=13;=88.31152;=88.31152;=1;=39;=44
BioGrid-Hepatitus-C-Virus;=1;=1.970588207244873;=1;=1;=133;=105.31348;=105.31348;=1;=134;=136
BioGrid-Homo-Sapiens;=263;=30.69497299194336;=71;=71;=2882;=30177.375;=9625.871;=1;=369767;=24093
BioGrid-Human-Herpesvirus-1;=3;=2.33707857131958;=3;=3;=40;=105.47168;=105.47168;=1;=208;=178
BioGrid-Human-Herpesvirus-4;=2;=2.01857590675354;=2;=2;=154;=161.15234;=127.40527;=1;=326;=323
BioGrid-Human-Herpesvirus-5;=1;=1.7685950994491577;=1;=1;=27;=105.17871;=105.17871;=1;=107;=121
BioGrid-Human-Herpesvirus-8;=3;=1.930167555809021;=3;=3;=119;=323.39063;=171.72168;=1;=691;=716
BioGrid-Human-Immunodeficiency-Virus-1;=6;=2.3181018829345703;=3;=3;=324;=635.13965;=264.01074;=1;=1319;=1138
BioGrid-Human-Immunodeficiency-Virus-2;=1;=1.5789474248886108;=1;=1;=6;=85.884766;=85.884766;=1;=15;=19
BioGrid-Human-Papillomavirus-16;=2;=2.1502890586853027;=2;=2;=93;=105.643555;=105.643555;=1;=186;=173
